Id,ParentId,Body
"53000033","53000014","<p>You just do this:</p>

<pre><code>var selectVal = document.getElementsByTagName(""select"")[0].value;
</code></pre>

<p>Then <code>selectVal</code> is the <code>value</code> of the selected <code>&lt;option&gt;</code> in the <code>&lt;select&gt;</code>.</p>
"
"53000041","53000024","<p>You would use <code>JOIN</code>.  One method does the <code>JOIN</code> before the aggregation:</p>

<pre><code>SELECT c.CUST_FNAME, c.CUSTLNAME, i.CUST_CODE, SUM(i.INV_TOTAL) AS TOTALINVOICE
FROM LGINVOICE i JOIN
     LGCUSTOMER c
     ON c.CUST_CODE = i.CUST_CODE
GROUP BY c.CUST_FNAME, c.CUSTLNAME, i.CUST_CODE
HAVING SUM(i.INV_TOTAL) &gt; 1500
ORDER BY TOTALINVOICE DESC;
</code></pre>
"
"53000045","53000019","<p>You can try</p>

<pre><code>setViewControllers([orderedViewControllers[1]],
                                   direction: .forward, animated: true, completion: nil)
</code></pre>
"
"53000058","53000014","<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var select_element = document.getElementById('select');

select_element.onchange = function() {
    var elem = (typeof this.selectedIndex === ""undefined"" ? window.event.srcElement : this);
    var value = elem.value || elem.options[elem.selectedIndex].value;
    alert(value);
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;select id=""select""&gt;
   &lt;option value=""a""&gt;Not good&lt;/option&gt;
   &lt;option value=""b""&gt;Alright&lt;/option&gt;
   &lt;option value=""c"" selected&gt;Pretty good&lt;/option&gt;
   &lt;option value=""d""&gt;Excellent!&lt;/option&gt;
&lt;/select&gt;
&lt;div id=""value""&gt;&lt;/div&gt;</code></pre>
</div>
</div>
</p>
"
"53000065","53000036","<p>Because <code>accountsList</code> is uninitialized when you call <code>accountsList[i]-&gt;getAccountNumber</code> in <code>getAccount</code>.</p>

<p>Perhaps you meant to populate it first, <em>then</em> call <code>program</code>?</p>
"
"53000075","53000042","<p>You can try</p>

<pre><code>DispatchQueue.main.async { 
  self.textView!.text.append(usr.username) 
}
</code></pre>

<p><strong>Or</strong></p>

<pre><code>self.userList = try   JSONDecoder().decode([User].self, from: data)
DispatchQueue.main.async {
   self.textView!.text = self.userList.map{$0.username}.joined(separator:"""")
}
</code></pre>
"
"53000095","53000070","<p>This should work ?</p>

<pre><code>$recentImages = Image::where('parent_id', NULL)-&gt;where('user_id', $authorId)-&gt;whereNotIn('id', [$id])-&gt;orderBy('created_at', 'desc')-&gt;limit(9)-&gt;get();
</code></pre>
"
"53000100","53000072","<p>There is a ""trinity of chaqnge notification"" you need with ObservableCollections. Or really collections and XAML/MVVM:</p>

<ol>
<li>Adding and removal of Collection Items. That is the only one ObservableCollection takes care off</li>
<li>Notification on each property of the class in the Collection</li>
<li>Notification on the property that exposes the Observable Collection.</li>
</ol>

<p>As the collection raies events on each removal or addition and there is no ""AddRange"" equivalent, large scale changes usually require de-exposing the collection for a moment. Or even building a new one from scratch, then exposing it.</p>

<p>I think that last case it what you are asking about.</p>
"
"53000107","53000019","<p>Why not try UICollectionView?
UIPageViewController have some issues, this case don't need UIPageViewController</p>
"
"53000116","53000089","<p>The problem is that you want to return a value inside a completion block , you need</p>

<pre><code>func downloadImage(from url: URL,completion(_ value:CGFloat) -&gt; Void )
{
    getData(from: url)
    { data, response, error in
    guard let data = data, error == nil else { return }
        {
            let image = UIImage(data: data)
            let heightInPoints = image!.size.height
            completion(heightInPoints)
        }
    }
}
</code></pre>

<p>BTW you can't do this</p>

<pre><code>return downloadImage(from: urll! as URL)
</code></pre>

<p>inside <code>heightForPhotoAtIndexPath</code> as downloadImage is asynchronous method that it's response depends on network status not serially in code , it's call would look like</p>

<pre><code>// array of heights
var arr = [CGFloat]()
let urll = URL(string: urlString)
downloadImage(from: urll!) { (value) in 
  print(value)
  // append the value to it's corresponding index in an array of floats
  DispatchQueue.main.async {
    self.collectionview.reloadData()
  }
}
</code></pre>

<hr>

<p>you need to have a predefined list of heights for the images if possible , if not then grab all the heights then refresh the collection</p>
"
"53000117","53000078","<p>It could be one line (Assuming you have a list of json file path in <code>file</code> list):</p>

<pre><code>my_dict = {i: json.load(open(file[i])) for i in range(len(file))}
</code></pre>

<p>Although if you should make sure that these 1000 json file fits in your memory first. It's also preferable to not name your variable <code>file</code>, as it's one of the default <code>__builtin__</code> in python.</p>
"
